"sample002_knn_10"	"sample002_knn_11"	"sample002_knn_12"	"sample002_knn_13"	"sample002_knn_14"	"sample002_knn_15"
"A1BG"	0.47257053291536	0.504702194357367	0.528996865203762	0.558777429467085	0.598746081504702	0.626175548589342
"A1BG.AS1"	0.256269592476489	0.273510971786834	0.290752351097179	0.304858934169279	0.31974921630094	0.336990595611285
"A2ML1.AS1"	0.0948275862068965	0.102664576802508	0.110501567398119	0.125391849529781	0.134796238244514	0.146551724137931
"AAAS"	0.822884012539185	0.844827586206897	0.859717868338558	0.880094043887147	0.891065830721003	0.903605015673981
"AACS"	0.761755485893417	0.787617554858934	0.808777429467085	0.829937304075235	0.850313479623824	0.863636363636364
"AADAT"	0.193573667711599	0.211598746081505	0.22257053291536	0.240595611285266	0.252351097178683	0.268025078369906
"AAGAB"	0.971003134796238	0.982758620689655	0.986677115987461	0.989028213166144	0.989811912225705	0.99294670846395
"AAK1"	0.918495297805643	0.938087774294671	0.950626959247649	0.95846394984326	0.961598746081505	0.967084639498433
"AAMDC"	0.935736677115988	0.947492163009404	0.963949843260188	0.969435736677116	0.981974921630094	0.9858934169279
"AAMP"	0.955329153605016	0.956896551724138	0.96551724137931	0.971003134796238	0.979623824451411	0.983542319749216
"AANAT"	0.0329153605015674	0.0360501567398119	0.0407523510971787	0.0415360501567398	0.0446708463949843	0.04858934169279
"AAR2"	0.810344827586207	0.828369905956113	0.843260188087774	0.869905956112853	0.887931034482759	0.903605015673981
"AARS"	0.991379310344828	0.995297805642633	0.995297805642633	0.995297805642633	0.996081504702194	0.999216300940439
"AARS2"	0.706896551724138	0.737460815047022	0.760971786833856	0.788401253918495	0.804858934169279	0.81974921630094
"AARSD1"	0.972570532915361	0.973354231974922	0.973354231974922	0.97884012539185	0.97884012539185	0.985109717868339
"AASDH"	0.824451410658307	0.843260188087774	0.86128526645768	0.877742946708464	0.900470219435737	0.920062695924765
"AASDHPPT"	0.952194357366771	0.957680250783699	0.968652037617555	0.973354231974922	0.980407523510972	0.980407523510972
"AASS"	0.0423197492163009	0.0478056426332288	0.0532915360501567	0.0556426332288401	0.0603448275862069	0.0673981191222571
"AATBC"	0.0211598746081505	0.0211598746081505	0.0219435736677116	0.0227272727272727	0.024294670846395	0.0274294670846395
"AATF"	0.986677115987461	0.991379310344828	1	1	1	1
"AATK"	0.0446708463949843	0.0470219435736677	0.0478056426332288	0.0493730407523511	0.0493730407523511	0.0540752351097179
"ABAT"	0.288401253918495	0.313479623824451	0.334639498432602	0.356583072100313	0.382445141065831	0.401253918495298
"ABCA1"	0.0407523510971787	0.0454545454545455	0.0470219435736677	0.0525078369905956	0.0564263322884013	0.0626959247648903
"ABCA2"	0.137931034482759	0.15987460815047	0.174764890282132	0.196708463949843	0.21551724137931	0.226489028213166
"ABCA3"	0.800156739811912	0.828369905956113	0.853448275862069	0.88166144200627	0.891065830721003	0.90987460815047
"ABCA5"	0.11128526645768	0.116771159874608	0.13166144200627	0.143416927899687	0.150470219435737	0.156739811912226
"ABCA6"	0.0391849529780564	0.0415360501567398	0.0446708463949843	0.0493730407523511	0.0525078369905956	0.0532915360501567
"ABCA7"	0.813479623824451	0.836206896551724	0.862068965517241	0.884796238244514	0.912225705329154	0.924764890282132
"ABCB1"	0.0360501567398119	0.0376175548589342	0.0431034482758621	0.04858934169279	0.0532915360501567	0.0564263322884013
"ABCB10"	0.971003134796238	0.971786833855799	0.971786833855799	0.972570532915361	0.974137931034483	0.974921630094044
"ABCB11"	0.0297805642633229	0.0297805642633229	0.0313479623824451	0.0321316614420063	0.0336990595611285	0.0352664576802508
